Resourceid;Simulated Batch;Simulated nonbatch;Expected Batch%;Expected NonBatch%;observed-expected batch;observed -expected nonbatch;obs-exp batch ^2;obs-exp nonbatch ^2;;Chi square batch;chi square non batch
11049;20;80;20;80;0;0;0;0;;0;0
10629;40;60;36;63;4;-3;16;9;;0,444444444;0,444444444
10809;60;40;61;38;-1;2;1;4;;0,016393443;0,016393443
10912;57;43;58;42;-1;1;1;1;;0,017241379;0,017241379
10609;67;33;67;33;0;0;0;0;;0;0
11019;34;66;33;66;1;0;1;0;;0,03030303;0,03030303
10913;59;41;58;42;1;-1;1;1;;0,017241379;0,017241379
10138;50;50;50;50;0;0;0;0;;0;0
10972;67;33;66;34;1;-1;1;1;;0,015151515;0,015151515
10939;42;58;41;59;1;-1;1;1;;0,024390244;0,024390244
11203;42;57;42;57;0;0;0;0;;0;0
11169;63;37;63;37;0;0;0;0;;0;0
10982;66;34;65;35;1;-1;1;1;;0,015384615;0,015384615
11000;85;15;85;15;0;0;0;0;;0;0
11119;60;40;60;40;0;0;0;0;;0;0
11180;44;56;43;57;1;-1;1;1;;0,023255814;0,023255814
11122;65;35;66;34;-1;1;1;1;;0,015151515;0,015151515
11189;44;56;44;56;0;0;0;0;;0;0
10861;66;33;66;33;0;0;0;0;;0;0
11001;50;50;50;50;0;0;0;0;;0;0
11201;42;57;42;57;0;0;0;0;;0;0
10889;75;25;75;25;0;0;0;0;;0;0
10909;55;44;55;44;0;0;0;0;;0;0
10188;25;75;25;75;0;0;0;0;;0;0
11121;70;30;75;25;-5;5;25;25;;0,333333333;0,333333333
11181;60;40;60;40;0;0;0;0;;0;0
11009;50;50;50;50;0;0;0;0;;0;0
10863;65;35;66;34;-1;1;1;1;;0,015151515;0,015151515
11179;62;38;63;37;-1;1;1;1;;0,015873016;0,015873016
10881;56;44;55;45;1;-1;1;1;;0,018181818;0,018181818
10933;50;50;50;50;0;0;0;0;;0;0
;;;;;;;;;;;
;;;;;;;;;Somme Chi square;1,001497062;1,001497062
;;;;;;;;;;;
;;;;;;;;;;;
Discarded Resources;;;;;;;;;;;
10228;0;100;0;100;0;0;0;0;;#DIV/0!;#DIV/0!
10914;0;100;0;100;0;0;0;0;;#DIV/0!;0
11259;0;100;0;100;0;0;0;0;;#DIV/0!;0,333333333
10789;0;100;0;100;0;0;0;0;;#DIV/0!;0
11002;0;100;0;100;0;0;0;0;;#DIV/0!;0,015151515
10899;0;100;0;100;0;0;0;0;;#DIV/0!;0
